cell_id,table_id,paper_label,row_id,column_id,expected_value,rebuilt_value,status,expected_source,normalization_rule
table13:__header__:case_models,table13,tab:agentdojo-case-insights,__header__,case_models,Case / model(s),Case / model(s),EXACT_MATCH,frozen table contract checked against paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:__header__:insight,table13,tab:agentdojo-case-insights,__header__,insight,Insight,Insight,EXACT_MATCH,frozen table contract checked against paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:__header__:layer,table13,tab:agentdojo-case-insights,__header__,layer,Layer,Layer,EXACT_MATCH,frozen table contract checked against paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:__header__:problem_location,table13,tab:agentdojo-case-insights,__header__,problem_location,Where the problem occurs,Where the problem occurs,EXACT_MATCH,frozen table contract checked against paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:__header__:retained_artifacts,table13,tab:agentdojo-case-insights,__header__,retained_artifacts,What the retained artifacts show,What the retained artifacts show,EXACT_MATCH,frozen table contract checked against paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r01:case_models,table13,tab:agentdojo-case-insights,table13_r01,case_models,B5/I5 / G,B5/I5 / G,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r01:insight,table13,tab:agentdojo-case-insights,table13_r01,insight,The official utility can count an old Spotify payment instead of the requested new difference payment.,The official utility can count an old Spotify payment instead of the requested new difference payment.,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r01:layer,table13,tab:agentdojo-case-insights,table13_r01,layer,Benchmark conflict,Benchmark conflict,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r01:problem_location,table13,tab:agentdojo-case-insights,table13_r01,problem_location,The benchmark utility checks a different payment condition from the task effect it appears to report.,The benchmark utility checks a different payment condition from the task effect it appears to report.,EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
table13:table13_r01:retained_artifacts,table13,tab:agentdojo-case-insights,table13_r01,retained_artifacts,"The task prompt and ground truth require sending a new 5.00 March difference. The utility check searches post-run transactions for a 50.00 Spotify transaction, which can already exist before the run.","The task prompt and ground truth require sending a new 5.00 March difference. The utility check searches post-run transactions for a 50.00 Spotify transaction, which can already exist before the run.",EXACT_MATCH,frozen paper source,"TeX macros are expanded from the frozen paper-source commit; presentation markup is removed while text, values, punctuation, row order, and one-decimal percentage formatting are preserved."
