task_id,case_unit_id,agent,released_label,native_verdict,native_reason,stronger_verdict,stronger_reason,label_agreement,native_S_stronger_F,record_level_conflict_status,structural_valid,error_count
full-miniwob-miniwob.click-checkboxes-agent_a,miniwob.click-checkboxes,agent_a,success,S,Final validator output shows done true with reward 1.0 and positive RAW_REWARD_GLOBAL.,S,"The goal requested only 4DVKz, and the final page shows 4DVKz checked with the other checkboxes unchecked.",True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.click-checkboxes-agent_b,miniwob.click-checkboxes,agent_b,success,S,Final validator output shows done true with reward 1.0 and positive RAW_REWARD_GLOBAL.,S,"Native success is supported, and the retained final-step artifacts show the exact requested checkbox selection with RAW_REWARD_GLOBAL = 1.",True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.click-checkboxes-agent_c,miniwob.click-checkboxes,agent_c,success,S,Final validator evidence shows done true with reward 1.0 and positive RAW_REWARD_GLOBAL.,S,The goal requested only 4DVKz; the retained pre-submit HTML shows only 4DVKz checked; the next action submitted; and RAW_REWARD_GLOBAL was 1.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.click-dialog-agent_a,miniwob.click-dialog,agent_a,success,S,"Final native validation shows success on the task URL: `done` is true, `reward` is 1.0, and `RAW_REWARD_GLOBAL` is 1; retained validation artifacts agree.",NA,The checklist defines no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.click-dialog-agent_b,miniwob.click-dialog,agent_b,success,S,"Retained final validation shows native success: the final task URL matches the task URL, and validation returned done true, reward 1.0, and RAW_REWARD_GLOBAL 1.",NA,The checklist defines no stronger additional conditions for this case.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.click-dialog-agent_c,miniwob.click-dialog,agent_c,success,S,"Final native validation shows the task URL with done true, reward 1.0, and RAW_REWARD_GLOBAL 1.",NA,The checklist defines no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.click-option-agent_a,miniwob.click-option,agent_a,success,S,"Final native evaluator output for `miniwob.click-option` shows `done: true`, `reward: 1.0`, and positive `RAW_REWARD_GLOBAL`.",NA,Checklist has no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.click-option-agent_b,miniwob.click-option,agent_b,success,S,"Official native evaluator output shows a valid final check for `miniwob.click-option` with `done: true`, `reward: 1.0`, and positive `RAW_REWARD_GLOBAL`.",NA,The checklist defines no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.click-option-agent_c,miniwob.click-option,agent_c,success,S,"Final native evaluator output for `miniwob.click-option` shows `done: true`, `reward: 1.0`, and positive `RAW_REWARD_GLOBAL`.",NA,Checklist defines no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.click-pie-nodelay-agent_a,miniwob.click-pie-nodelay,agent_a,fail,F,Completed retained evaluator output shows non-positive oracle raw reward and binary reward 0.0.,NA,Checklist defines no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.click-pie-nodelay-agent_b,miniwob.click-pie-nodelay,agent_b,fail,F,"Final validator evidence at the 30-step limit shows no success: done is false, reward is 0.0, and RAW_REWARD_GLOBAL is 0.",NA,Checklist has no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.click-pie-nodelay-agent_c,miniwob.click-pie-nodelay,agent_c,fail,F,Final validator evidence shows non-positive oracle raw reward and binary reward 0.0.,NA,Checklist has no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.click-shades-agent_a,miniwob.click-shades,agent_a,fail,F,"The retained native evaluator output shows a completed run with non-positive raw reward, so the released validator returned binary reward 0.0 rather than success.",NA,The checklist defines no stronger additional conditions for this case.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.click-shades-agent_b,miniwob.click-shades,agent_b,fail,F,"Final validator output shows RAW_REWARD_GLOBAL 0 and binary reward 0.0, so the retained completed outcome is a native failure.",NA,The checklist has no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.click-shades-agent_c,miniwob.click-shades,agent_c,fail,F,"The final native validator output shows non-positive raw reward and binary reward 0.0, so the retained evidence supports native failure.",NA,The checklist defines no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.click-shape-agent_a,miniwob.click-shape,agent_a,fail,F,Final validator output shows a completed run with binary reward 0.0 and RAW_REWARD_GLOBAL = -1.,NA,The checklist defines no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.click-shape-agent_b,miniwob.click-shape,agent_b,fail,F,"Final native validation completed with done=true but returned reward 0.0 and RAW_REWARD_GLOBAL=-1, so native success was not reached.",NA,The checklist defines no stronger additional conditions for this case.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.click-shape-agent_c,miniwob.click-shape,agent_c,fail,F,Final native evaluator output shows a completed run with binary reward 0.0 and non-positive raw reward (-1).,NA,The checklist defines no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.click-test-2-agent_a,miniwob.click-test-2,agent_a,success,S,"Final validator shows successful completion: done true, reward 1.0, positive RAW_REWARD_GLOBAL, and no validation error.",NA,Checklist defines no stronger additional conditions.,True,False,not_applicable_agreement,True,0
full-miniwob-miniwob.click-test-2-agent_b,miniwob.click-test-2,agent_b,success,S,"Final native validation shows a valid successful completion: done is true, reward is 1.0, and RAW_REWARD_GLOBAL is positive.",NA,The checklist defines no stronger additional conditions.,True,False,not_applicable_agreement,True,0
