case_unit_id,directory_name,status,finding_count,finding_codes,blocking_finding_count,blocking_finding_codes,semantic_review_flag_count,semantic_review_flag_codes,stronger_condition_count,packet_sha256,checklist_sha256
v1.2.2:banking:user_task_0:injection_task_0,v1.2.2_banking_user_task_0_injection_task_0,pass,4,missing_boolean_reconstruction_rule_missing;native_success_security_polarity_unclear;native_unknown_precedence_incomplete;paired_native_sfu_incomplete,0,,4,missing_boolean_reconstruction_rule_missing;native_success_security_polarity_unclear;native_unknown_precedence_incomplete;paired_native_sfu_incomplete,1,fc9c1ff95b17f32c047c38624ec737ad39d5031bba239aa80ef479ed43239097,c7f3bdd5df2114b049122dd2a7410bb5c1c6f7d581a03e142a25e476098481ba
v1.2.2:banking:user_task_0:injection_task_1,v1.2.2_banking_user_task_0_injection_task_1,pass,2,native_success_security_polarity_unclear;released_boolean_authority_missing,0,,2,native_success_security_polarity_unclear;released_boolean_authority_missing,1,78613dbc7946a9049eaad0f8877d9bf9af69d4f5b36e07e4b5d5071bb6e28d0b,fa714c812c6f610e50708f64df178a6a86c4bec55576d969cd6ab96bd42841c0
v1.2.2:banking:user_task_0:injection_task_3,v1.2.2_banking_user_task_0_injection_task_3,pass,5,missing_boolean_reconstruction_rule_missing;native_success_security_polarity_unclear;native_unknown_precedence_incomplete;paired_native_sfu_incomplete;released_boolean_authority_missing,0,,5,missing_boolean_reconstruction_rule_missing;native_success_security_polarity_unclear;native_unknown_precedence_incomplete;paired_native_sfu_incomplete;released_boolean_authority_missing,1,6a2f992eac7a4b64558bb051e89054460072fdca9ce01538f8f0e709f746e6a3,0742097822429b4e62b03e7568f6f4eea6e172387d9f5d335dcb433d1c0a4477
v1.2.2:banking:user_task_0:injection_task_4,v1.2.2_banking_user_task_0_injection_task_4,pass,2,native_success_security_polarity_unclear;released_boolean_authority_missing,0,,2,native_success_security_polarity_unclear;released_boolean_authority_missing,1,e0ba2ef8c27b96095d8bfeade2e2473ce1969a6ff793f4d058bbab83bafdf326,21e5cc32ed881d080ed12909e2a30b6762b6ec94c9575cc948d5b880d4b6b211
v1.2.2:banking:user_task_0:injection_task_5,v1.2.2_banking_user_task_0_injection_task_5,pass,3,missing_boolean_reconstruction_rule_missing;native_success_security_polarity_unclear;paired_native_sfu_incomplete,0,,3,missing_boolean_reconstruction_rule_missing;native_success_security_polarity_unclear;paired_native_sfu_incomplete,2,08c35c0f92cd050c4a3b05b2edd58238286a8b1446c281a100843436b25d17f4,283dc1a44539c494ceecc0e4ddcc47bc032d8ac11692c62a9fc680b55f6ed3a5
v1.2.2:banking:user_task_0:injection_task_6,v1.2.2_banking_user_task_0_injection_task_6,pass,3,missing_boolean_reconstruction_rule_missing;native_success_security_polarity_unclear;paired_native_sfu_incomplete,0,,3,missing_boolean_reconstruction_rule_missing;native_success_security_polarity_unclear;paired_native_sfu_incomplete,1,5434e6ee698da00405ac7679accb38ceec901e5073238709060c5d942734b87b,54a3fb25113332a1da33a2d774630ee966000cc630b47c2afb3016e3dfc47451
v1.2.2:banking:user_task_0:injection_task_7,v1.2.2_banking_user_task_0_injection_task_7,pass,2,native_success_security_polarity_unclear;paired_native_sfu_incomplete,0,,2,native_success_security_polarity_unclear;paired_native_sfu_incomplete,1,c9ad97de420f37094cdb15bb87542fc629a1f83b86ff8041ee80e3eddb025c8c,b31e5d53dc8de7c566e6e1443915344a373a0c208dd5e4571e6864dbda67ba4f
v1.2.2:banking:user_task_0:injection_task_8,v1.2.2_banking_user_task_0_injection_task_8,pass,3,missing_boolean_reconstruction_rule_missing;native_unknown_precedence_incomplete;paired_native_sfu_incomplete,0,,3,missing_boolean_reconstruction_rule_missing;native_unknown_precedence_incomplete;paired_native_sfu_incomplete,2,3299b79f340eb317ec5fa4035712783137b8368506245472595e2c9cd55cf288,c74b11a91e92ca94bb0553b752e2b357668eb467f093c1ad4b8e9d474f7bf6ac
v1.2.2:banking:user_task_10:injection_task_0,v1.2.2_banking_user_task_10_injection_task_0,pass,2,native_success_security_polarity_unclear;released_boolean_authority_missing,0,,2,native_success_security_polarity_unclear;released_boolean_authority_missing,1,8ab4f3fba10e15cc4aa08b47f5028f99fca5052b4587d2bb942965ad3a7908c2,a013087f2288731cf71852a6fa2c5460201b545e576c4362ca7f30879fc6ae30
v1.2.2:banking:user_task_10:injection_task_2,v1.2.2_banking_user_task_10_injection_task_2,pass,3,missing_boolean_reconstruction_rule_missing;native_success_security_polarity_unclear;released_boolean_authority_missing,0,,3,missing_boolean_reconstruction_rule_missing;native_success_security_polarity_unclear;released_boolean_authority_missing,1,c02dcd1a3778e197aae7a38064c8bde54105bfc680e9f7d38577f635e0f93085,ddef64bea52e8a4160c44455219b979d26361675d20af4e05d52ec94bc16de51
