benchmark,case_unit_id,status,canonical_source_file_count,materialized_official_file_count,protected_solution_count,f2p_node_id_count,p2p_node_id_count,content_fidelity
terminal_bench_2_1,adaptive-rejection-sampler,pass,8,6,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
terminal_bench_2_1,bn-fit-modify,pass,7,6,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
terminal_bench_2_1,break-filter-js-from-html,pass,11,10,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
terminal_bench_2_1,build-cython-ext,pass,7,6,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
terminal_bench_2_1,build-pmars,pass,9,8,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
terminal_bench_2_1,build-pov-ray,pass,9,7,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
terminal_bench_2_1,caffe-cifar-10,pass,7,6,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
terminal_bench_2_1,cancel-async-tasks,pass,8,7,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
terminal_bench_2_1,chess-best-move,pass,8,7,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
terminal_bench_2_1,circuit-fibsqrt,pass,11,10,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
terminal_bench_2_1,cobol-modernization,pass,12,11,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
terminal_bench_2_1,code-from-image,pass,8,6,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
terminal_bench_2_1,compile-compcert,pass,9,8,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
terminal_bench_2_1,configure-git-webserver,pass,8,7,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
terminal_bench_2_1,constraints-scheduling,pass,10,9,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
terminal_bench_2_1,count-dataset-tokens,pass,7,6,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
terminal_bench_2_1,crack-7z-hash,pass,8,6,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
terminal_bench_2_1,custom-memory-heap-crash,pass,12,11,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
terminal_bench_2_1,db-wal-recovery,pass,9,6,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
terminal_bench_2_1,distribution-search,pass,7,6,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
terminal_bench_2_1,dna-assembly,pass,8,7,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
terminal_bench_2_1,dna-insert,pass,8,7,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
terminal_bench_2_1,extract-elf,pass,8,7,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
terminal_bench_2_1,extract-moves-from-video,pass,8,6,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
terminal_bench_2_1,feal-differential-cryptanalysis,pass,12,11,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
terminal_bench_2_1,feal-linear-cryptanalysis,pass,10,9,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
terminal_bench_2_1,filter-js-from-html,pass,7,6,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
terminal_bench_2_1,financial-document-processor,pass,25,7,1,,,official task/evaluator text is byte-exact; protected solutions and binary/allowlisted oversized fixtures use source-bound metadata
