benchmark,case_unit_id,agent_id,layer,trigger,released_label,native_verdict,stronger_verdict,human_audit_label,recommended_action,adjudication_status,final_native_verdict,final_stronger_verdict,evidence_summary,source_paths
appworld,0a9d82a_1,Agent C,native,native_unknown_released_success,success,U,U,SCORER_UNKNOWN_TOO_STRICT,"Relabel native S and stronger S; retained evaluator output and trace decide both claims.",corrected,S,S,"Official evaluator passes answer 4 and no-model-change; trace reads Simple Note logs and computes the longest practiced-good-posture streak as 4.","cases/0a9d82a_1/.../native_evaluator_output.json; cases/0a9d82a_1/.../appworld_task_output/logs/environment_io.md; cases/0a9d82a_1/.../model_hashes.json"
appworld,29a7b7e_1,Agent A,native,released_success_native_false_failure,success,F,F,SCORER_CHECKLIST_BOOKKEEPING_TOO_STRICT,"Ignore supervisor.Task bookkeeping in the changed-model set; relabel native S and stronger S.",corrected,S,S,"Official evaluator passes changed_model_names()=={file_system.File,file_system.Directory}; retained trace uses move_file for the meeting-file reorganization.","cases/29a7b7e_1/.../ground_truth/evaluation.py; cases/29a7b7e_1/.../native_evaluator_output.json; cases/29a7b7e_1/.../logs/environment_io.md"
appworld,29a7b7e_1,Agent B,native,released_success_native_false_failure,success,F,F,SCORER_CHECKLIST_BOOKKEEPING_TOO_STRICT,"Ignore supervisor.Task bookkeeping in the changed-model set; relabel native S and stronger S.",corrected,S,S,"Official evaluator passes; retained model_hashes include supervisor.Task only as task-completion bookkeeping, and the trace uses file moves rather than copies.","cases/29a7b7e_1/.../native_evaluator_output.json; cases/29a7b7e_1/.../model_hashes.json; cases/29a7b7e_1/.../logs/environment_io.md"
appworld,29a7b7e_1,Agent C,native,released_success_native_false_failure,success,F,F,SCORER_CHECKLIST_BOOKKEEPING_TOO_STRICT,"Ignore supervisor.Task bookkeeping in the changed-model set; relabel native S and stronger S.",corrected,S,S,"Official evaluator passes; supervisor.Task should not be treated as an additional business-state model change.","cases/29a7b7e_1/.../ground_truth/evaluation.py; cases/29a7b7e_1/.../native_evaluator_output.json; cases/29a7b7e_1/.../model_hashes.json"
appworld,29a7b7e_2,Agent A,native,released_success_native_false_failure,success,F,F,SCORER_CHECKLIST_BOOKKEEPING_TOO_STRICT,"Ignore supervisor.Task bookkeeping in the changed-model set; relabel native S and stronger S.",corrected,S,S,"Official evaluator passes; retained trace calls move_file for the required source-to-destination file moves.","cases/29a7b7e_2/.../ground_truth/evaluation.py; cases/29a7b7e_2/.../native_evaluator_output.json; cases/29a7b7e_2/.../logs/environment_io.md"
appworld,29a7b7e_2,Agent C,native,released_success_native_false_failure,success,F,F,SCORER_CHECKLIST_BOOKKEEPING_TOO_STRICT,"Ignore supervisor.Task bookkeeping in the changed-model set; relabel native S and stronger S.",corrected,S,S,"Official evaluator passes; retained trace uses move_file and the extra supervisor.Task hash is bookkeeping.","cases/29a7b7e_2/.../native_evaluator_output.json; cases/29a7b7e_2/.../model_hashes.json; cases/29a7b7e_2/.../logs/environment_io.md"
appworld,29a7b7e_3,Agent A,native,released_success_native_false_failure,success,F,F,SCORER_CHECKLIST_BOOKKEEPING_TOO_STRICT,"Ignore supervisor.Task bookkeeping in the changed-model set; relabel native S and stronger S.",corrected,S,S,"Official evaluator passes; retained trace uses move_file for the reorganization.","cases/29a7b7e_3/.../ground_truth/evaluation.py; cases/29a7b7e_3/.../native_evaluator_output.json; cases/29a7b7e_3/.../logs/environment_io.md"
appworld,29a7b7e_3,Agent B,native,released_success_native_false_failure,success,F,F,SCORER_CHECKLIST_BOOKKEEPING_TOO_STRICT,"Ignore supervisor.Task bookkeeping in the changed-model set; relabel native S and stronger S.",corrected,S,S,"Official evaluator passes; supervisor.Task is not part of the official changed_model_names condition.","cases/29a7b7e_3/.../ground_truth/evaluation.py; cases/29a7b7e_3/.../native_evaluator_output.json; cases/29a7b7e_3/.../model_hashes.json"
appworld,29a7b7e_3,Agent C,native,released_success_native_false_failure,success,F,F,SCORER_CHECKLIST_BOOKKEEPING_TOO_STRICT,"Ignore supervisor.Task bookkeeping in the changed-model set; relabel native S and stronger S.",corrected,S,S,"Official evaluator passes; retained trace calls move_file and supports the move-not-copy stronger condition.","cases/29a7b7e_3/.../native_evaluator_output.json; cases/29a7b7e_3/.../logs/environment_io.md"
appworld,3aa1a22_1,Agent B,native,released_success_native_false_failure,success,F,NA,SCORER_CHECKLIST_BOOKKEEPING_TOO_STRICT,"Ignore supervisor.Task bookkeeping in the changed-model set; relabel native S.",corrected,S,NA,"Official Splitwise/phone evaluator checks pass; the additional supervisor.Task hash is task-completion bookkeeping.","cases/3aa1a22_1/.../ground_truth/evaluation.py; cases/3aa1a22_1/.../native_evaluator_output.json; cases/3aa1a22_1/.../model_hashes.json"
appworld,b9c5c9a_2,Agent B,native,released_success_native_false_failure,success,F,NA,SCORER_CHECKLIST_BOOKKEEPING_TOO_STRICT,"Ignore supervisor.Task bookkeeping in the changed-model set; relabel native S.",corrected,S,NA,"Official evaluator passes the RSVP CSV update checks; retained supervisor.Task update is not a business-state mutation.","cases/b9c5c9a_2/.../ground_truth/evaluation.py; cases/b9c5c9a_2/.../native_evaluator_output.json; cases/b9c5c9a_2/.../model_hashes.json"
appworld,f323bae_1,Agent C,native,released_success_native_false_failure,success,F,NA,SCORER_CHECKLIST_BOOKKEEPING_TOO_STRICT,"Ignore supervisor.Task bookkeeping in the changed-model set; relabel native S.",corrected,S,NA,"Official evaluator passes the habit-tracker CSV export checks; supervisor.Task is task-completion bookkeeping.","cases/f323bae_1/.../ground_truth/evaluation.py; cases/f323bae_1/.../native_evaluator_output.json; cases/f323bae_1/.../model_hashes.json"
appworld,5a83b05_3,Agent A,stronger,native_S_stronger_U,success,S,U,STRONGER_EVIDENCE_GAP,"Keep native S and stronger U; final download-folder absence is not retained.",accepted,S,U,"Native evaluator verifies the deleted PDF records, but retained artifacts do not include a final ~/downloads listing proving no PDF remains.","cases/5a83b05_3/.../ground_truth/evaluation.py; cases/5a83b05_3/.../native_evaluator_output.json; cases/5a83b05_3/.../model_hashes.json"
