benchmark,case_unit_id,agent_id,layer,trigger,released_label,native_verdict,stronger_verdict,human_audit_label,recommended_action,adjudication_status,final_native_verdict,final_stronger_verdict,evidence_summary,source_paths
tau3_retail,10,Agent A,native,released_native_conflict,fail,S,S,REWARD_WIRING_CONFLICT,keep native conflict unless DB changes are ruled invalid,preliminary,,,"Task/action evidence supports return+transfer, but released reward fails on db_match.",case 10 task.json; results.json; task.log lines 236-301
tau3_retail,100,Agent C,native,released_native_conflict,fail,S,S,NEEDS_ADJUDICATION,recheck mapping semantics and final DB state,pending,,,"Write calls present, but released action/db checks fail; likely mapping/final-state issue.",case 100 results.json; task.log lines 452-476
tau3_retail,105,Agent C,native,released_native_conflict,success,F,F,BENCHMARK_BUG_FALSE_SUCCESS,keep native F,preliminary,,,Released success despite failed exchange action and no completed exchange.,case 105 results.json; task.log lines 96-103
tau3_retail,12,Agent A,native,released_native_conflict,success,F,F,SCORER_TOO_STRICT_NATIVE,likely relabel native S,preliminary,,,Exact transfer-summary text should likely not be native.,case 12 results.json; score.json
tau3_retail,12,Agent C,native,released_native_conflict,success,F,F,SCORER_TOO_STRICT_NATIVE,likely relabel native S,preliminary,,,Exact transfer-summary text should likely not be native.,case 12 results.json; score.json
tau3_retail,17,Agent A,native,released_native_conflict,success,F,F,NEEDS_ADJUDICATION,decide if missed extra order lookups are native outcome requirements,pending,,,Missed extra order lookups vs successful address update.,case 17 results.json; score.json
tau3_retail,17,Agent C,native,released_native_conflict,success,F,F,NEEDS_ADJUDICATION,decide if missed extra order lookups are native outcome requirements,pending,,,Missed extra order lookups vs successful address update.,case 17 results.json; score.json
tau3_retail,21,Agent B,native,released_native_conflict,success,F,F,NEEDS_ADJUDICATION,recheck final modified order state against task claim,pending,,,Scorer flags post-modification state mismatch; released db succeeds.,case 21 results.json; task.log lines 295-346
tau3_retail,23,Agent B,native,released_native_conflict,success,F,F,SCORER_TOO_STRICT_NATIVE,likely relabel native S,preliminary,,,Missing product lookup appears path-only.,case 23 results.json; score.json
tau3_retail,25,Agent A,native,released_native_conflict,success,F,F,NEEDS_ADJUDICATION,recheck if missed order lookups are path-only or outcome-critical,pending,,,Four missed order-detail lookups.,case 25 results.json; score.json
tau3_retail,26,Agent A,native,released_native_conflict,success,F,F,BENCHMARK_BUG_FALSE_SUCCESS,keep native F if transfer is native,preliminary,,,Missing transfer call ignored by released reward.,case 26 results.json; score.json
tau3_retail,26,Agent B,native,released_native_conflict,success,F,F,BENCHMARK_BUG_FALSE_SUCCESS,keep native F if transfer is native,preliminary,,,Missing transfer call ignored by released reward.,case 26 results.json; score.json
tau3_retail,26,Agent C,native,released_native_conflict,success,F,F,BENCHMARK_BUG_FALSE_SUCCESS,keep native F if transfer is native,preliminary,,,Missing transfer call ignored by released reward.,case 26 results.json; score.json
tau3_retail,27,Agent A,native,released_native_conflict,success,F,F,NEEDS_ADJUDICATION,decide if missed lookup should fail native scoring,pending,,,Missed lookup rather than obvious final-state mismatch.,case 27 results.json; score.json
tau3_retail,34,Agent B,native,unknown_native_conflict,success,U,U,EVIDENCE_INSUFFICIENT,keep native U unless post-run DB snapshot is recovered,preliminary,,,No independent post-run DB snapshot.,case 34 score.json
