benchmark,case_unit_id,overall_system_design_audit,semantic_decision,draft_lock_and_pre_run_scope,outcome_label_boundary,official_user_goal_task,native_evaluator_oracle_semantics,state_schema_and_artifact_inventory,nonlabel_decisive_evidence,native_sfu_rules,source_support_pointers,stronger_conditions,stronger_conflict_separation,minimality_no_run_leakage,failed_review_items,failed_design_clauses,finding_count,finding_summary,stronger_condition_count,review_prompt_variant,draft_lock_integrity,review_receipt_integrity,raw_draft_changed_since_lock,draft_sha256,case_packet_sha256
deep_swe_v1_1,abs-module-cache-flags,符合,accept,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,,,0,,1,base_semantic_review,True,True,False,12aeaa321a1cc5a0cfffa315f87c96cf73699338b225c9c65739b9548ec67d71,a34854523b0c462d653178c445f679cc59a8749575cd4f1b317551ca918ac141
deep_swe_v1_1,abs-stepped-slices,需修订,revise,通过,通过,通过,通过,通过,需修订,通过,需修订,通过,通过,需修订,decisive_post_run_evidence; source_support_pointers; minimality_and_no_run_leakage,决定性非标签运行证据; source support pointers; 最小性/无运行泄漏,3,decisive_post_run_evidence: `artifacts/model.patch` cannot independently establish that a new branch was created from `main` or that all task changes were committed at handoff.; source_support_pointers: The cited shell-script line ranges point to unrelated commands.; minimality_and_no_run_leakage: The model-patch artifact adds no decisive evidence for the stronger workflow requirement and makes the checklist less compact.,1,base_semantic_review,True,True,False,86f3e1aa6212fa65d9b0ca21a222f6f3e4095198ec314782df8fdcee95d46d79,ff63d6fd8ef140cbd8f981d04db1e5ed0238084cbc95d55b7f8d2784b0db836c
deep_swe_v1_1,actionlint-action-pinning-lint,符合,accept,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,,,0,,1,base_semantic_review,True,True,False,921aaa0f3a2d67cdd986ca03d8f0644f4fd691b5e2a22868af5589916c30fe01,e0ebd75a173c9940adb5d596f086955b4645dc90c087358b611cfedf8bbc0c89
terminal_bench_2_1,adaptive-rejection-sampler,需修订,revise,通过,通过,需修订,需修订,通过,需修订,通过,通过,需修订,通过,通过,native_user_goal; native_evaluator_semantics; decisive_post_run_evidence; stronger_conditions,官方 user goal/task; native evaluator/oracle 语义; 决定性非标签运行证据; stronger 条件的官方支持与测量 gap,4,"native_user_goal: native.user_goal narrows the official implementation and testing intent by omitting several explicit requirements.; native_evaluator_semantics: The native rules substitute an all-nine-described-checks predicate for test.sh's exact immediate pytest exit-status predicate and overstate what weak source regexes operationalize.; decisive_post_run_evidence: verifier/test-stdout.txt does not normally contain the captured output of test(), so it cannot independently establish the stronger standard-deviation condition.; stronger_conditions: Although the standard-deviation requirement and measurement gap are valid, the condition lacks a retained artifact capable of assessing it in principle.",1,base_semantic_review,True,True,False,258a9e6cff398f194bb24198768204dbe0144897a912f5251e62f1663de74cce,2a2b47050878c37bb20d8d3d2726643d3430734608157bbc4ab2ccab6fab58ed
deep_swe_v1_1,adaptix-name-mapping-aliases,符合,accept,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,,,0,,1,base_semantic_review,True,True,False,8ec5d839798f367a540828086f5574e9e69dbe308ab05ca3d2c15f6ba9b634a3,d01c1ed7a36272ec233fb196c131527f6a274715cb728ef9102bd04465879697
deep_swe_v1_1,aiomonitor-task-snapshots-diff,符合,accept,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,,,0,,1,base_semantic_review,True,True,False,f53f4d6b8936d9845ecce326e2625f921c42c64783144bdffdede9033bb3af49,dc74ce9722bee06a5061789f39e6fbb4c2b5b1fd51a0238f2c5e50f165ae68bb
deep_swe_v1_1,anko-default-function-arguments,需修订,revise,通过,通过,需修订,需修订,通过,需修订,需修订,通过,需修订,通过,通过,native_user_goal; native_evaluator_semantics; decisive_post_run_evidence; decision_rules_sfu; stronger_conditions,官方 user goal/task; native evaluator/oracle 语义; 决定性非标签运行证据; native S/F/U 规则; stronger 条件的官方支持与测量 gap,5,"native_user_goal: native.user_goal does not state which declarations are invalid and omits the allowed case where a variadic parameter follows defaulted fixed parameters.; native_evaluator_semantics: The native rules do not represent the released model.patch apply-failure path, and checked_by overstates that the grader always produces verifier/ctrf.json.; decisive_post_run_evidence: artifacts/model.patch cannot independently prove that work occurred on a new branch from main or that all final working-tree changes were committed.; decision_rules_sfu: The checklist lacks an F rule for conclusive non-label evidence of patch-application failure when verifier/ctrf.json is absent.; stronger_conditions: Although the stronger workflow condition is valid, one of its named decisive artifacts can only show the base-to-HEAD diff and cannot assess the full branch-and-commit requirement.",1,base_semantic_review,True,True,False,85782e65d1ffaea4e4dba7dce6fae627ef72fb94d178e3041994546f049097df,250f54bfef7451551384565e59f46dd913f2eea3c873d775ebd249b33d364cd2
deep_swe_v1_1,anko-typed-variable-bindings,需修订,revise,通过,通过,通过,通过,通过,通过,需修订,通过,通过,通过,通过,decision_rules_sfu,native S/F/U 规则,1,decision_rules_sfu: The checklist can assign U when retained raw CTRF reports or verifier logs establish at least one configured node as failed or skipped but do not establish every node’s status. One such node is sufficient for native F under the released evaluator.,1,base_semantic_review,True,True,False,4e44e61457ef6c4ca73c5f4dcadd4e7cc0c677178665610ee6c0243506043cac,197f08c8ba229da2089b7e0839fab0adeddcf8bc5ca274d75dbfe5b57779b313
deep_swe_v1_1,arcane-drift-detection-baselines,符合,accept,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,,,0,,1,base_semantic_review,True,True,False,cbeb7513546a548dc25dabfd5ba97a84ec699de526ed0e40ee78de2c192e4144,39a84075e4a710519ffa9142909735f4b82690159d22fe45f414662a3951d99d
deep_swe_v1_1,arktype-json-schema-refs-dependencies,需修订,revise,通过,通过,通过,需修订,通过,需修订,需修订,通过,通过,通过,通过,native_evaluator_semantics; decisive_post_run_evidence; decision_rules_sfu,native evaluator/oracle 语义; 决定性非标签运行证据; native S/F/U 规则,3,"native_evaluator_semantics: native.fail_if enumerates failed and skipped raw-report statuses but omits the released rule that a configured node absent from the complete grader input reports is failed.; decisive_post_run_evidence: artifacts/model.patch cannot independently establish the stronger branch-and-commit workflow condition or the stated comparison with other agent evidence.; decision_rules_sfu: The current F/U boundary permits a configured node absent from otherwise complete raw reports to fall into U, although the released grader counts that absence as failure.",1,base_semantic_review,True,True,False,424652f57242af7b104cdbae75d940035324a76367406239c0dcc50427b5580e,65c999a1f9c1787a27d8a3749b5560c4a2a93ca5cac90220417c353ff108292e
deep_swe_v1_1,awilix-async-container-initialization,需修订,revise,通过,通过,通过,需修订,通过,需修订,需修订,通过,需修订,通过,通过,native_evaluator_semantics; decisive_post_run_evidence; decision_rules_sfu; stronger_conditions,native evaluator/oracle 语义; 决定性非标签运行证据; native S/F/U 规则; stronger 条件的官方支持与测量 gap,4,"native_evaluator_semantics: The synthesized-CTRF success alternative can pass without proving that all 24 f2p and 162 p2p configured nodes are represented.; decisive_post_run_evidence: The verifier/ctrf.json question checks displayed statuses but not completeness, so a truncated artifact could incorrectly appear decisive for success.; decision_rules_sfu: Native S can currently be assigned from evidence that establishes only the statuses of displayed rows rather than the complete released criterion.; stronger_conditions: A commit occurring after implementation does not establish that everything was committed, as uncommitted changes could remain.",1,base_semantic_review,True,True,False,fe03a3ee20305c40bb2666fe1bae45b4778bb1e559b3d4c7a1ae065477d5d72f,dc823f49cbf2755d0026929579728e5efe9fda7fdd887fc5c6556e9339614177
deep_swe_v1_1,bandit-incremental-cache-control,符合,accept,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,,,0,,1,base_semantic_review,True,True,False,f0759ead9c063eedc665218fcfaaf540b41933c862b833b4ba3c424634db3577,273083f33034abea159602cd7d2f1593d8b99b90a8afe6717e7c639ab850d081
deep_swe_v1_1,bandit-interprocedural-taint-checks,需修订,revise,通过,通过,通过,通过,通过,需修订,通过,通过,通过,通过,通过,decisive_post_run_evidence,决定性非标签运行证据,1,"decisive_post_run_evidence: artifacts/model.patch is listed as a decisive artifact for branch_and_commit_workflow, but the patch only captures the base-to-HEAD diff and cannot independently establish that a new branch from main was used or that everything was committed. Its question expressly depends on branch/commit actions being evidenced elsewhere.",1,base_semantic_review,True,True,False,d2577c38c4420f65117c782b9261c034a7d602c94821ff9790a88e19ee2fd6aa,80d738608103c1e157220ade396c43d2bea65fc48751293ba2d8d0111b119607
deep_swe_v1_1,bandit-structured-nosec-directives,符合,accept,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,通过,,,0,,1,base_semantic_review,True,True,False,c2c4fdf878dbc10ebb46663ce70ccea916c3fe6ab34af4dc4ffe036205a5bb9d,6cecdf6cbbdf7bbe5b4d8ba7f2e08d49e84544098825b46d908640a09e3c85fb
