case,agent,released,current_native,preliminary_label,recommended_action,short_reason
10,Agent A,fail,S,REWARD_WIRING_CONFLICT,keep conflict,"Task/action evidence supports return+transfer, reward fails on db_match."
100,Agent C,fail,S,NEEDS_ADJUDICATION,recheck,"Write calls present, released action/db fail; likely mapping/final-state issue."
105,Agent C,success,F,BENCHMARK_BUG_FALSE_SUCCESS,keep native F,Released success despite failed exchange action and no completed exchange.
12,Agent A,success,F,SCORER_TOO_STRICT_NATIVE,likely relabel S,Exact transfer-summary text should likely not be native.
12,Agent C,success,F,SCORER_TOO_STRICT_NATIVE,likely relabel S,Exact transfer-summary text should likely not be native.
17,Agent A,success,F,NEEDS_ADJUDICATION,recheck,Missed extra order lookups vs successful address update.
17,Agent C,success,F,NEEDS_ADJUDICATION,recheck,Missed extra order lookups vs successful address update.
21,Agent B,success,F,NEEDS_ADJUDICATION,recheck,Scorer flags post-modification state mismatch; released db succeeds.
23,Agent B,success,F,SCORER_TOO_STRICT_NATIVE,likely relabel S,Missing product lookup appears path-only.
25,Agent A,success,F,NEEDS_ADJUDICATION,recheck,Four missed order-detail lookups; decide if path-only or outcome-critical.
26,Agent A,success,F,BENCHMARK_BUG_FALSE_SUCCESS,keep native F,Missing transfer call ignored by released reward.
26,Agent B,success,F,BENCHMARK_BUG_FALSE_SUCCESS,keep native F,Missing transfer call ignored by released reward.
26,Agent C,success,F,BENCHMARK_BUG_FALSE_SUCCESS,keep native F,Missing transfer call ignored by released reward.
27,Agent A,success,F,NEEDS_ADJUDICATION,recheck,Missed order lookup vs released success.
34,Agent B,success,U,EVIDENCE_INSUFFICIENT,keep U unless artifact recovered,No independent post-run DB snapshot.
36,Agent A,success,F,BENCHMARK_BUG_FALSE_SUCCESS,keep native F if item semantics matter,Post-modification state has implausible item/object fields.
36,Agent C,success,F,BENCHMARK_BUG_FALSE_SUCCESS,keep native F if item semantics matter,Post-modification state has implausible item/object fields.
38,Agent A,success,F,SCORER_TOO_STRICT_NATIVE,likely relabel S,Missing calculator call appears path-only.
41,Agent A,fail,S,SCORER_TOO_LENIENT_NATIVE,likely relabel F,Released db/action fail; our scorer likely too permissive.
45,Agent B,success,F,SCORER_TOO_STRICT_NATIVE,likely relabel S,Missing calculator call appears path-only.
45,Agent C,success,F,SCORER_TOO_STRICT_NATIVE,likely relabel S,Missing calculator call appears path-only.
5,Agent B,success,F,SCORER_TOO_STRICT_NATIVE,likely relabel S,Exact product lookup/argument matching appears too strict.
50,Agent B,success,F,BENCHMARK_BUG_FALSE_SUCCESS,keep native F,Required transfer missing; released reward ignores failed action check.
61,Agent C,success,F,SCORER_TOO_STRICT_NATIVE,likely relabel S,Missing calculator call appears path-only.
89,Agent C,success,F,SCORER_TOO_STRICT_NATIVE,likely relabel S,Exact wording mismatch despite return and official NL success.
