benchmark,case_unit_id,agent_id,layer,trigger,released_label,native_verdict,stronger_verdict,human_audit_label,recommended_action,adjudication_status,final_native_verdict,final_stronger_verdict,evidence_summary,source_paths
miniwob,miniwob.click-checkboxes-large,Agent C,native,native_unknown_released_fail,fail,U,U,SCORER_UNKNOWN_TOO_STRICT,"Relabel native F; unfinished or incomplete MiniWoB episodes with native reward 0 are failures, not Unknown.",corrected,F,F,"The run ends after 30 steps with reward 0 and DONE_GLOBAL=false; the requested checkbox set is not completed.","run_summary.json; task_artifacts/task_info_final.json; trajectory/steps.json"
miniwob,miniwob.drag-cube,Agent A,native,native_unknown_released_fail,fail,U,NA,SCORER_UNKNOWN_TOO_STRICT,"Relabel native F; nonterminal reward-0 episode is a native failure.",corrected,F,NA,"The run reaches the step limit with reward 0 and no completed cube orientation.","run_summary.json; task_artifacts/task_info_final.json; trajectory/steps.json"
miniwob,miniwob.find-word,Agent B,native,native_unknown_released_fail,fail,U,NA,SCORER_UNKNOWN_TOO_STRICT,"Relabel native F; failure to identify the answer before the step limit is not an evidence gap.",corrected,F,NA,"The final action is a noop/request for the paragraph; reward remains 0 and DONE_GLOBAL=false.","run_summary.json; task_artifacts/task_info_final.json; trajectory/steps.json"
miniwob,miniwob.grid-coordinate,Agent A,native,native_unknown_released_fail,fail,U,NA,SCORER_UNKNOWN_TOO_STRICT,"Relabel native F; repeated wrong clicks under reward 0 are native failure.",corrected,F,NA,"The run reaches 30 clicks without completing the target coordinate task.","run_summary.json; task_artifacts/task_info_final.json; trajectory/steps.json"
miniwob,miniwob.grid-coordinate,Agent B,native,native_unknown_released_fail,fail,U,NA,SCORER_UNKNOWN_TOO_STRICT,"Relabel native F; repeated wrong clicks under reward 0 are native failure.",corrected,F,NA,"The run reaches 30 clicks without completing the target coordinate task.","run_summary.json; task_artifacts/task_info_final.json; trajectory/steps.json"
miniwob,miniwob.grid-coordinate,Agent C,native,native_unknown_released_fail,fail,U,NA,SCORER_UNKNOWN_TOO_STRICT,"Relabel native F; report_infeasible after task start is an agent failure.",corrected,F,NA,"The only action is report_infeasible and the native reward remains 0.","run_summary.json; task_artifacts/task_info_final.json; trajectory/steps.json"
miniwob,miniwob.number-checkboxes,Agent B,native,native_unknown_released_fail,fail,U,NA,SCORER_UNKNOWN_TOO_STRICT,"Relabel native F; unfinished drawing after the step budget is failure.",corrected,F,NA,"The run is still attempting checkbox clicks at step 30 with reward 0.","run_summary.json; task_artifacts/task_info_final.json; trajectory/steps.json"
miniwob,miniwob.order-food,Agent A,native,native_unknown_released_fail,fail,U,NA,SCORER_UNKNOWN_TOO_STRICT,"Relabel native F; unfinished order workflow is native failure.",corrected,F,NA,"The run reaches 30 actions without completing the requested food order.","run_summary.json; task_artifacts/task_info_final.json; trajectory/steps.json"
miniwob,miniwob.order-food,Agent B,native,native_unknown_released_fail,fail,U,NA,SCORER_UNKNOWN_TOO_STRICT,"Relabel native F; unfinished order workflow is native failure.",corrected,F,NA,"The run reaches 30 actions and repeatedly scrolls without completing the requested food order.","run_summary.json; task_artifacts/task_info_final.json; trajectory/steps.json"
miniwob,miniwob.simple-arithmetic,Agent B,native,native_unknown_released_fail,fail,U,NA,SCORER_UNKNOWN_TOO_STRICT,"Relabel native F; failure to solve before the step budget is native failure.",corrected,F,NA,"The run remains unable to see or solve the arithmetic problem and ends with reward 0.","run_summary.json; task_artifacts/task_info_final.json; trajectory/steps.json"
