benchmark,case_unit_id,status,decision,failed_item_ids,finding_count,revision_valid,infra_errors
deep_swe_v1_1,abs-module-cache-flags,completed,accept,,0,,
deep_swe_v1_1,abs-stepped-slices,completed,revise,decisive_post_run_evidence;source_support_pointers;minimality_and_no_run_leakage,3,False,
deep_swe_v1_1,actionlint-action-pinning-lint,completed,accept,,0,,
terminal_bench_2_1,adaptive-rejection-sampler,completed,revise,native_user_goal;native_evaluator_semantics;decisive_post_run_evidence;stronger_conditions,4,False,
deep_swe_v1_1,adaptix-name-mapping-aliases,completed,accept,,0,,
deep_swe_v1_1,aiomonitor-task-snapshots-diff,completed,accept,,0,,
deep_swe_v1_1,anko-default-function-arguments,completed,revise,native_user_goal;native_evaluator_semantics;decisive_post_run_evidence;decision_rules_sfu;stronger_conditions,5,False,
deep_swe_v1_1,anko-typed-variable-bindings,completed,revise,decision_rules_sfu,1,False,
deep_swe_v1_1,arcane-drift-detection-baselines,completed,accept,,0,,
deep_swe_v1_1,arktype-json-schema-refs-dependencies,completed,revise,native_evaluator_semantics;decisive_post_run_evidence;decision_rules_sfu,3,False,
deep_swe_v1_1,awilix-async-container-initialization,completed,revise,native_evaluator_semantics;decisive_post_run_evidence;decision_rules_sfu;stronger_conditions,4,False,
deep_swe_v1_1,bandit-incremental-cache-control,completed,accept,,0,,
deep_swe_v1_1,bandit-interprocedural-taint-checks,completed,revise,decisive_post_run_evidence,1,True,
deep_swe_v1_1,bandit-structured-nosec-directives,completed,accept,,0,,
terminal_bench_2_1,bn-fit-modify,completed,revise,native_evaluator_semantics;decision_rules_sfu;source_support_pointers;stronger_conditions,4,False,
deep_swe_v1_1,boa-hierarchical-evaluation-cancellation,completed,accept,,0,,
terminal_bench_2_1,break-filter-js-from-html,completed,accept,,0,,
terminal_bench_2_1,build-cython-ext,completed,accept,,0,,
terminal_bench_2_1,build-pmars,completed,revise,native_evaluator_semantics;decision_rules_sfu,2,False,
terminal_bench_2_1,build-pov-ray,completed,revise,native_user_goal;source_support_pointers,2,False,
terminal_bench_2_1,caffe-cifar-10,completed,revise,native_user_goal;native_evaluator_semantics;decision_rules_sfu,3,True,
terminal_bench_2_1,cancel-async-tasks,completed,revise,stronger_conditions,1,False,
deep_swe_v1_1,cattrs-partial-structuring-recovery,completed,revise,decisive_post_run_evidence,1,True,
terminal_bench_2_1,chess-best-move,completed,accept,,0,,
terminal_bench_2_1,circuit-fibsqrt,completed,revise,native_evaluator_semantics;decision_rules_sfu,2,True,
